log,fullmove,ply,side,fen,move,rank,score_cp,gap_cp,candidate_move,reference_move,round,legal_moves
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,f6g5,25,-543,445,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,c6h1,26,-543,445,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,c6g2,27,-545,447,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,f6d4,28,-554,456,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,a8a7,29,-566,468,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,c6d5,30,-576,478,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,a8a4,31,-591,493,g7g5,f8c8,4,32
sprt_game_1,21,33,Black,rn3rk1/5ppp/1pb1pb2/1N6/2P2P2/P1N5/1P2BP1P/2RR2K1 b - - 2 21,c6f3,32,-605,507,g7g5,f8c8,4,32
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,f6d4,1,-151,0,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,g8f8,2,-198,47,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,c6d7,3,-217,66,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,c6b7,4,-232,81,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,g7g6,5,-245,94,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,a8a4,6,-258,107,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,h7h6,7,-258,107,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,g7g5,8,-263,112,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,f6e7,9,-264,113,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,h7h5,10,-270,119,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,c6b5,11,-273,122,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,c8d8,12,-293,142,g8f8,f6d4,4,33
sprt_game_1,24,39,Black,rnr3k1/5ppp/1pb1pb2/1N6/1PPN1P2/P7/4BP1P/2RR2K1 b - - 4 24,f6h4,13,-302,151,g8f8,f6d4,4,33
