log,fullmove,ply,side,fen,move,rank,score_cp,gap_cp,candidate_move,reference_move,round,legal_moves
sprt_game_1,33,58,White,6r1/1p3pr1/p4k2/8/1P1pP3/3n1N1P/P6K/7R w - - 0 33,h1g1,6,-31989,31278,h1f1,f3h4,3,19
sprt_game_1,33,58,White,6r1/1p3pr1/p4k2/8/1P1pP3/3n1N1P/P6K/7R w - - 0 33,h1e1,7,-31998,31287,h1f1,f3h4,3,19
sprt_game_1,33,58,White,6r1/1p3pr1/p4k2/8/1P1pP3/3n1N1P/P6K/7R w - - 0 33,h1d1,8,-31998,31287,h1f1,f3h4,3,19
sprt_game_1,33,58,White,6r1/1p3pr1/p4k2/8/1P1pP3/3n1N1P/P6K/7R w - - 0 33,h1c1,9,-31998,31287,h1f1,f3h4,3,19
sprt_game_1,33,58,White,6r1/1p3pr1/p4k2/8/1P1pP3/3n1N1P/P6K/7R w - - 0 33,h1b1,10,-31998,31287,h1f1,f3h4,3,19
sprt_game_1,33,58,White,6r1/1p3pr1/p4k2/8/1P1pP3/3n1N1P/P6K/7R w - - 0 33,h1a1,11,-31998,31287,h1f1,f3h4,3,19
sprt_game_1,33,58,White,6r1/1p3pr1/p4k2/8/1P1pP3/3n1N1P/P6K/7R w - - 0 33,h3h4,12,-31998,31287,h1f1,f3h4,3,19
sprt_game_1,33,58,White,6r1/1p3pr1/p4k2/8/1P1pP3/3n1N1P/P6K/7R w - - 0 33,f3e5,13,-31999,31288,h1f1,f3h4,3,19
sprt_game_1,33,58,White,6r1/1p3pr1/p4k2/8/1P1pP3/3n1N1P/P6K/7R w - - 0 33,f3d4,14,-31999,31288,h1f1,f3h4,3,19
sprt_game_1,33,58,White,6r1/1p3pr1/p4k2/8/1P1pP3/3n1N1P/P6K/7R w - - 0 33,f3d2,15,-31999,31288,h1f1,f3h4,3,19
sprt_game_1,33,58,White,6r1/1p3pr1/p4k2/8/1P1pP3/3n1N1P/P6K/7R w - - 0 33,f3g1,16,-31999,31288,h1f1,f3h4,3,19
sprt_game_1,33,58,White,6r1/1p3pr1/p4k2/8/1P1pP3/3n1N1P/P6K/7R w - - 0 33,b4b5,17,-31999,31288,h1f1,f3h4,3,19
