log,fullmove,ply,side,fen,move,rank,score_cp,gap_cp,target_oracle_moves,target_reference_moves,target_candidate_moves,target_worst_diff,target_hits
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,g8f8,25,-552,623,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,d6f4,26,-554,625,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,b2c2,27,-554,625,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,d6e7,28,-556,627,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,c6d7,29,-557,628,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,b2b4,30,-558,629,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,d6b8,31,-564,635,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,e8e6,32,-566,637,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,d6c7,33,-566,637,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,e8e7,34,-571,642,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,e8e5,35,-571,642,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,e8e4,36,-571,642,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,d6f8,37,-571,642,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
odonata-bot_vs_EnyoBot_u9u9wyRV_oot.log,27,53,Black,4r1k1/5pp1/2bb3p/3p4/p2P4/2P1N2P/1q1B1PP1/1R1Q2K1 b - - 1 27,d6e5,38,-571,642,b2a2;b2a2,b2a2;b2a2,b2c2;b2a3,-613,2
